epoch,iou_coef,loss,val_iou_coef,val_loss
0,0.13109611,0.13040171747121587,0.22410330176353455,0.06150943871326507
1,0.18444502,0.07174312765726533,0.2643643617630005,0.04289873634838754
2,0.20946953,0.055311026023957884,0.2688630223274231,0.03286534530009813
3,0.22526544,0.045915930609034886,0.26174792647361755,0.02771765602289871
4,0.24192046,0.0379914272885034,0.28106939792633057,0.030642634506817836
5,0.25827354,0.03215823208113047,0.2909601628780365,0.029765613566917978
6,0.2715854,0.02824982251347124,0.30328041315078735,0.023981234509569065
7,0.28735343,0.025087536919680117,0.30294641852378845,0.022065079361674893
8,0.29944137,0.022751910924405302,0.31492334604263306,0.021111173282383353
9,0.3106838,0.020984402813560475,0.3212220370769501,0.019324149972029553
10,0.3209157,0.019681980544720992,0.3355746269226074,0.019281908134176472
11,0.32999748,0.018403034361958587,0.33317896723747253,0.018328534569709922
12,0.340774,0.017294795139674926,0.3339381217956543,0.017981499374197546
13,0.34865052,0.01661354938610302,0.34395140409469604,0.017531248390864416
14,0.35874212,0.015769829670387807,0.35690832138061523,0.01711444014529134
15,0.3662984,0.015408668208337388,0.3661556839942932,0.015946824690860926
16,0.37094152,0.015084839285590594,0.3845739960670471,0.015560176087080673
17,0.3804467,0.014019078594188866,0.3899361193180084,0.015696498672151643
18,0.38730928,0.013894562023544851,0.4086592197418213,0.015319885051316895
19,0.39393058,0.013403583196059702,0.4134170114994049,0.014228292835793297
20,0.39747265,0.013290740044026913,0.4113019108772278,0.014624676305302389
21,0.40492174,0.012799797700922369,0.42704614996910095,0.01389346818682874
22,0.41046607,0.012304139045388119,0.4194873869419098,0.014030794488491526
23,0.41599447,0.012215057971260476,0.4281601309776306,0.01367008216845192
24,0.42131856,0.011830735904865247,0.43916672468185425,0.013471576242832241
25,0.4276004,0.011498078661697263,0.43384289741516113,0.012922666545743776
26,0.43088847,0.011408887584070871,0.4318869709968567,0.01347236139521857
27,0.43343836,0.011180657374699615,0.4455060362815857,0.013464849424447603
28,0.43780208,0.011116766292398817,0.4594815671443939,0.01261946580900698
29,0.441886,0.010783982577866176,0.4626043736934662,0.012289931440049676
30,0.44845328,0.010485045147844856,0.4698600769042969,0.012676833078834661
31,0.451744,0.010385891469096619,0.467172235250473,0.013169996303974823
32,0.4511748,0.0104922811511933,0.4623326361179352,0.012492690715867623
