epoch,iou_coef,loss,val_iou_coef,val_loss
0,0.2634226,4.631311858654022,0.37343519926071167,2.781811969280243
1,0.3486915,2.76678684781281,0.4312030076980591,2.8420200523734094
2,0.3961351,2.066663830032635,0.49998992681503296,2.1251324984431266
3,0.44165155,1.6095767376422883,0.5557599067687988,1.5630473431944847
4,0.46815228,1.336733375950361,0.5727475881576538,1.2901482483744622
5,0.49193454,1.1917933495829491,0.6013111472129822,1.0010993880033494
6,0.516612,1.0265555139780045,0.6219947338104248,0.9733985278010369
7,0.5310131,0.9661063526091498,0.5804660320281982,0.9661105173826218
8,0.5422634,0.8943625151290464,0.6313556432723999,0.8792375772446394
9,0.5544049,0.8560086198981026,0.5980633497238159,0.8629868467897177
10,0.55794495,0.8417908120155334,0.6497070789337158,0.8383666728436947
11,0.5695897,0.7846132815555578,0.6190544366836548,0.835406711474061
12,0.5795471,0.7591791796147151,0.6378397941589355,0.7899725310504436
13,0.5806583,0.7432765934467316,0.6073475480079651,0.8422022000700236
14,0.5818899,0.7422555941067291,0.6608142256736755,0.7427336528897286
15,0.5962802,0.7203537747021461,0.6511604189872742,0.7237794058024883
16,0.5919461,0.7066018030103366,0.6410884261131287,0.7709318935871124
17,0.6026232,0.68876064401865,0.6568750143051147,0.7647545893490314
18,0.6085559,0.6675836988026568,0.6068438291549683,0.8218984393775464
19,0.60869396,0.6677402817859817,0.6531609296798706,0.754642738699913
20,0.61071956,0.6519317485690117,0.6574457287788391,0.7791688756644726
21,0.6072853,0.6524821492697629,0.638114333152771,0.8384594134241342
22,0.6286478,0.6147733007563518,0.6645061373710632,0.7180550591647625
23,0.6345273,0.5936715116488919,0.6665850281715393,0.7235278873890638
24,0.6332694,0.5988059008717537,0.6675272583961487,0.723812629058957
25,0.63297457,0.597816316803943,0.673900842666626,0.7118743966519833
26,0.63906157,0.5921769622419594,0.674010694026947,0.7207381521165371
27,0.6339688,0.5920173785090447,0.6621026396751404,0.7401365680992603
28,0.6373767,0.5872497738377472,0.6731847524642944,0.7096990933269263
29,0.6323912,0.5957162302187895,0.6673809289932251,0.7244599664956332
30,0.64483243,0.5771156039569196,0.6704840064048767,0.7116624280065298
31,0.6391503,0.5854644069671631,0.663088858127594,0.7268356321007013
32,0.6364785,0.5839480203740737,0.6694474816322327,0.7132766279578209
33,0.64281374,0.5730167542142475,0.6797799468040466,0.7018784260749817
34,0.64317274,0.5764645622968674,0.6660153865814209,0.7133473674952984
35,0.64079916,0.5793641611542063,0.6663848161697388,0.7231887698918581
36,0.64201,0.5709040772183815,0.669059157371521,0.7112917962670326
37,0.64201075,0.5772918425006174,0.6632800102233887,0.7309868849813939
38,0.6424339,0.5701125540733337,0.6684693098068237,0.7205512881278991
39,0.64399445,0.5733496133317338,0.6717809438705444,0.7103163444250822
40,0.642915,0.5679829278338389,0.6680595278739929,0.7195327971875668
41,0.64764255,0.5627969580292702,0.6679718494415283,0.7162448009103537
42,0.64452636,0.5753936345347475,0.6710872650146484,0.7188416113704443
43,0.6475341,0.5599704774210837,0.6717144846916199,0.7145134652405978
